x,s,y
1024.0,4099.0,3041.34479672
1077.0,4311.0,3848.11290461
1093.0,4375.0,1425.14949365
1114.0,4459.0,3784.23651747
1125.0,4503.0,6153.79172866
1199.0,4799.0,3554.11797412
1228.0,4915.0,3580.0545406
1254.0,5019.0,3302.36707498
1271.0,5087.0,4411.08028247
1300.0,5203.0,4984.36490397
1339.0,5359.0,3618.27841285
1377.0,5511.0,3504.57835306
1417.0,5671.0,6589.78692837
1536.0,6147.0,5217.89629577
1613.0,6455.0,8396.38637446
1636.0,6547.0,5222.87799369
1665.0,6663.0,4999.52100524
1680.0,6723.0,5665.26113175
1726.0,6907.0,8264.58318873
1726.0,6907.0,8507.36647557
1844.0,7379.0,7770.4563142
1884.0,7539.0,9743.47131578
1942.0,7771.0,6771.49886413
1962.0,7851.0,9084.57940426
1994.0,7979.0,9043.94701116
2007.0,8031.0,8776.39151486
2066.0,8267.0,10050.1578826
2239.0,8959.0,8916.42555485
2239.0,8959.0,8165.64808713
2305.0,9223.0,8755.25366519
2310.0,9243.0,8364.34661322
2322.0,9291.0,8915.34859433
2379.0,9519.0,9197.38241427
2440.0,9763.0,7851.95904396
2544.0,10179.0,8207.20804011
2549.0,10199.0,8709.82913985
2578.0,10315.0,11755.6163048
2604.0,10419.0,8596.51192103
2615.0,10463.0,10361.0047482
2638.0,10555.0,9411.6197175
2761.0,11047.0,9319.6415672
2769.0,11079.0,12842.8819172
2786.0,11147.0,11531.2407491
2820.0,11283.0,8595.93288139
2844.0,11379.0,12229.2987937
2876.0,11507.0,12759.8926708
3055.0,12223.0,12137.8405953
3068.0,12275.0,11996.5109723
3094.0,12379.0,11800.2729985
3094.0,12379.0,12566.2939954
3130.0,12523.0,13600.3942388
3132.0,12531.0,14640.825237
3193.0,12775.0,11428.4092551
3207.0,12831.0,12301.4877344
3322.0,13291.0,12999.5669428
3372.0,13491.0,15054.715276
3380.0,13523.0,12525.3570879
3455.0,13823.0,14183.6408623
3468.0,13875.0,16607.8764098
3549.0,14199.0,15966.3032046
3605.0,14423.0,15479.7197159
3696.0,14787.0,16868.0934864
3704.0,14819.0,13931.9144869
3939.0,15759.0,16177.9194112
3940.0,15763.0,14843.2978469
3954.0,15819.0,17660.6273388
4001.0,16007.0,11626.150281
4037.0,16151.0,18021.1539509
4040.0,16163.0,15692.8771098
4072.0,16291.0,15529.7418794
4110.0,16443.0,19643.2255653
4129.0,16519.0,15436.0340749
4161.0,16647.0,16222.9260112
4174.0,16699.0,15331.25712
4240.0,16963.0,15681.3275478
4291.0,17167.0,16263.7251749
4298.0,17195.0,16254.3605446
4327.0,17311.0,16945.6846065
4364.0,17459.0,18965.7091401
4420.0,17683.0,17848.2934953
4422.0,17691.0,18893.8296387
4441.0,17767.0,19548.8303537
4449.0,17799.0,17997.3169139
4509.0,18039.0,17680.3094298
4535.0,18143.0,20888.1014948
4559.0,18239.0,18718.2694955
4626.0,18507.0,17537.3976187
4710.0,18843.0,18955.2873097
4737.0,18951.0,16783.8474195
4776.0,19107.0,19772.5909007
4786.0,19147.0,17760.8922801
4809.0,19239.0,20106.9348223
4813.0,19255.0,19525.5150033
4845.0,19383.0,17059.5073393
4860.0,19443.0,19594.6604656
4884.0,19539.0,19585.7409977
4901.0,19607.0,18295.7299998
4949.0,19799.0,21835.5489789
4949.0,19799.0,19998.4766695
4968.0,19875.0,20582.4548821
